
[Onsemi AR0147 regdump]
REG= 0x27D0, 0x0000
REG= 0x27D2, 0x0000
REG= 0x27D4, 0x0000
REG= 0x27D6, 0x0000
REG= 0x27D8, 0x0000
REG= 0x27DA, 0x0000
REG= 0x27DC, 0x0000
REG= 0x27DE, 0x0000
REG= 0x27E0, 0x0000
REG= 0x27E2, 0x0000
REG= 0x27E4, 0x0000
REG= 0x27E6, 0x0000
REG= 0x27E8, 0x0000
REG= 0x27EA, 0x0000
REG= 0x27EC, 0x0000
REG= 0x27EE, 0x0000
REG= 0x27F0, 0xFFFF
REG= 0x27F2, 0xFBBA
REG= 0x27F4, 0xFFFF
REG= 0x27F6, 0xFB94
REG= 0x27F8, 0xFFFF
REG= 0x27FA, 0xFC81
REG= 0x27FC, 0xFFFF
REG= 0x27FE, 0xFB8F
REG= 0x2E00, 0x0000
REG= 0x2E02, 0x0000
REG= 0x2E04, 0x0000
REG= 0x2E06, 0x0000
REG= 0x2E08, 0x0000
REG= 0x2E0A, 0x0000
REG= 0x2E0C, 0x0000
REG= 0x2E0E, 0x0000
REG= 0x2E10, 0x0000
REG= 0x2E12, 0x0000
REG= 0x2E14, 0x0000
REG= 0x2E16, 0x0000
REG= 0x2E18, 0x0000
REG= 0x2E1A, 0x0000
REG= 0x2E1C, 0x0000
REG= 0x2E1E, 0x0000
REG= 0x2E20, 0x0000
REG= 0x2E22, 0x0000
REG= 0x2E24, 0x0000
REG= 0x2E26, 0x0000
REG= 0x2E28, 0x0000
REG= 0x2E2A, 0x0000
REG= 0x2E2C, 0x0000
REG= 0x2E2E, 0x0000
REG= 0x2E30, 0x0000
REG= 0x2E32, 0x0000
REG= 0x2E34, 0x0000
REG= 0x2E36, 0x0000
REG= 0x2E38, 0x0000
REG= 0x2E3A, 0x0000
REG= 0x2E3C, 0x0000
REG= 0x2E3E, 0x0000
REG= 0x2E40, 0x0000
REG= 0x2E42, 0x0000
REG= 0x2E44, 0x0000
REG= 0x2E46, 0x0000
REG= 0x2E48, 0x0000
REG= 0x2E4A, 0x0000
REG= 0x2E4C, 0x0000
REG= 0x2E4E, 0x0000
REG= 0x2E50, 0x0000
REG= 0x2E52, 0x0000
REG= 0x2E54, 0x0000
REG= 0x2E56, 0x0000
REG= 0x2E58, 0x0000
REG= 0x2E5A, 0x0000
REG= 0x2E5C, 0x0000
REG= 0x2E5E, 0x0000
REG= 0x2E60, 0x0000
REG= 0x2E62, 0x0000
REG= 0x2E64, 0x0000
REG= 0x2E66, 0x0000
REG= 0x2E68, 0x0000
REG= 0x2E6A, 0x0000
REG= 0x2E6C, 0x0000
REG= 0x2E6E, 0x0000
REG= 0x2E70, 0x0000
REG= 0x2E72, 0x0000
REG= 0x2E74, 0x0000
REG= 0x2E76, 0x0000
REG= 0x2E78, 0x0000
REG= 0x2E7A, 0x0000
REG= 0x2E7C, 0x0000
REG= 0x2E7E, 0x0000
REG= 0x2E80, 0x0007
REG= 0x2F0A, 0x0000
REG= 0x2F0C, 0x0000
REG= 0x2F0E, 0x0000
REG= 0x2F26, 0x0446
REG= 0x2F28, 0x0000
REG= 0x2F2A, 0x0008
REG= 0x2F2C, 0x2103
REG= 0x2F48, 0x0000
REG= 0x2F4E, 0x0000
REG= 0x3000, 0x1D54
REG= 0x3002, 0x0000
REG= 0x3004, 0x0000
REG= 0x3006, 0x03C7
REG= 0x3008, 0x053F
REG= 0x300A, 0x04A8
REG= 0x300C, 0x0574
REG= 0x300E, 0x0000
REG= 0x3010, 0xBEEF
REG= 0x3012, 0x0452
REG= 0x3014, 0x060E
REG= 0x3016, 0x0014
REG= 0x3018, 0x056A
REG= 0x301A, 0x10DC
REG= 0x301C, 0x01
REG= 0x301D, 0x00
REG= 0x301E, 0x00A8
REG= 0x3020, 0x00
REG= 0x3021, 0x00
REG= 0x3022, 0x00
REG= 0x3023, 0x00
REG= 0x3024, 0x00
REG= 0x3025, 0x00
REG= 0x3028, 0x0010
REG= 0x302A, 0x0008
REG= 0x302C, 0x0001
REG= 0x302E, 0x0003
REG= 0x3030, 0x0032
REG= 0x3034, 0x0800
REG= 0x3036, 0x0008
REG= 0x3038, 0x0001
REG= 0x303E, 0x04C6
REG= 0x3040, 0x0000
REG= 0x3042, 0x0000
REG= 0x3044, 0x0400
REG= 0x3046, 0x0000
REG= 0x3048, 0x0100
REG= 0x304A, 0x0000
REG= 0x304C, 0x0200
REG= 0x3050, 0x0000
REG= 0x3052, 0x0000
REG= 0x3054, 0x0000
REG= 0x3056, 0x0080
REG= 0x3058, 0x00E3
REG= 0x305A, 0x00B4
REG= 0x305C, 0x0080
REG= 0x305E, 0x0080
REG= 0x3060, 0x7777
REG= 0x3062, 0x0333
REG= 0x3064, 0x0000
REG= 0x3066, 0x0000
REG= 0x306E, 0x9010
REG= 0x3070, 0x0000
REG= 0x3072, 0x0000
REG= 0x3074, 0x0000
REG= 0x3076, 0x0000
REG= 0x3078, 0x0000
REG= 0x307A, 0x0000
REG= 0x3082, 0x0000
REG= 0x3084, 0x0008
REG= 0x3086, 0x0600
REG= 0x3088, 0x0000
REG= 0x308A, 0x0000
REG= 0x308C, 0x0000
REG= 0x308E, 0x053F
REG= 0x3090, 0x03C7
REG= 0x3092, 0x1A24
REG= 0x3094, 0x0000
REG= 0x3096, 0x0080
REG= 0x3098, 0x0080
REG= 0x309C, 0x0020
REG= 0x309E, 0x0200
REG= 0x30A0, 0x0001
REG= 0x30A2, 0x0001
REG= 0x30A4, 0x0001
REG= 0x30A6, 0x0001
REG= 0x30A8, 0x0001
REG= 0x30AA, 0x0458
REG= 0x30AE, 0x0005
REG= 0x30B0, 0x980E
REG= 0x30B4, 0x01C7
REG= 0x30B6, 0x0000
REG= 0x30B8, 0x0007
REG= 0x30BA, 0x0020
REG= 0x30BC, 0x0080
REG= 0x30BE, 0x0080
REG= 0x30C0, 0x0080
REG= 0x30C2, 0x0080
REG= 0x30C4, 0x0080
REG= 0x30C6, 0x01E5
REG= 0x30C8, 0x018D
REG= 0x30CA, 0x0000
REG= 0x30CC, 0x0000
REG= 0x30CE, 0x0000
REG= 0x30D0, 0x0005
REG= 0x30D2, 0x0004
REG= 0x30DA, 0x000A
REG= 0x30DC, 0x0020
REG= 0x30FE, 0x0020
REG= 0x3100, 0x4000
REG= 0x3102, 0x60A0
REG= 0x3104, 0x60A0
REG= 0x3106, 0x60A0
REG= 0x3108, 0x0F9F
REG= 0x3110, 0x0011
REG= 0x3112, 0x7FE7
REG= 0x3114, 0x0000
REG= 0x3116, 0x0001
REG= 0x3120, 0x0BA0
REG= 0x3122, 0x0FA0
REG= 0x3124, 0x00B4
REG= 0x3126, 0x0018
REG= 0x3128, 0x6100
REG= 0x313A, 0x0000
REG= 0x313C, 0x0000
REG= 0x313E, 0x000D
REG= 0x3140, 0x0000
REG= 0x3142, 0x0000
REG= 0x3144, 0x0804
REG= 0x3146, 0x0614
REG= 0x3148, 0x0000
REG= 0x314A, 0xFFFF
REG= 0x314C, 0x0100
REG= 0x314E, 0x0020
REG= 0x3180, 0x0080
REG= 0x31AC, 0x0C0C
REG= 0x31AE, 0x0001
REG= 0x31B0, 0x0060
REG= 0x31B2, 0x004B
REG= 0x31B4, 0x2185
REG= 0x31B6, 0x1146
REG= 0x31B8, 0x3048
REG= 0x31BA, 0x0186
REG= 0x31BC, 0x0785
REG= 0x31BE, 0x0023
REG= 0x31C0, 0x9249
REG= 0x31C2, 0xFFFF
REG= 0x31C4, 0xF555
REG= 0x31C6, 0x0000
REG= 0x31C8, 0x0000
REG= 0x31D0, 0x0000
REG= 0x31D2, 0x0000
REG= 0x31D4, 0x0000
REG= 0x31D6, 0x0F1C
REG= 0x31D8, 0x28D5
REG= 0x31DC, 0x1FB8
REG= 0x31DE, 0x0000
REG= 0x31E0, 0x0000
REG= 0x31E2, 0x0008
REG= 0x31E6, 0x0000
REG= 0x31E8, 0x0000
REG= 0x31EA, 0x0000
REG= 0x31EC, 0x0000
REG= 0x31EE, 0x0000
REG= 0x31FE, 0x0011
REG= 0x3212, 0x0002
REG= 0x3214, 0x0002
REG= 0x3216, 0x0001
REG= 0x3218, 0x0001
REG= 0x321A, 0x0000
REG= 0x321C, 0x0000
REG= 0x321E, 0x056A
REG= 0x3220, 0x056A
REG= 0x3222, 0x056A
REG= 0x3224, 0x056A
REG= 0x3226, 0x08D2
REG= 0x3228, 0x08D2
REG= 0x322A, 0x0039
REG= 0x322C, 0x009A
REG= 0x322E, 0x258C
REG= 0x3236, 0x00B3
REG= 0x3238, 0x0222
REG= 0x323A, 0x0222
REG= 0x3240, 0x0000
