
[ISP CONFIG DUMP]
CONF= 0x22D, 0x00
CONF= 0x22E, 0x21
CONF= 0x22F, 0x20
CONF= 0x230, 0x00
CONF= 0x231, 0x00
CONF= 0x232, 0x00
CONF= 0x233, 0x00
CONF= 0x234, 0x00
CONF= 0x235, 0x00
CONF= 0x236, 0x00
CONF= 0x237, 0x00
CONF= 0x238, 0x0a
CONF= 0x239, 0x00
CONF= 0x23A, 0x00
CONF= 0x23B, 0x00
CONF= 0x23C, 0x00
CONF= 0x23D, 0x00
CONF= 0x23E, 0x00
CONF= 0x23F, 0x00
CONF= 0x240, 0x00
CONF= 0x241, 0x00
CONF= 0x242, 0x00
CONF= 0x243, 0x00
CONF= 0x244, 0x00
CONF= 0x245, 0x00
CONF= 0x246, 0x00
CONF= 0x247, 0x00
CONF= 0x248, 0x00
CONF= 0x249, 0x00
CONF= 0x24A, 0x00
CONF= 0x24B, 0x00
CONF= 0x24C, 0x00
CONF= 0x24D, 0x00
CONF= 0x24E, 0x00
CONF= 0x24F, 0x00
CONF= 0x250, 0x00
CONF= 0x251, 0x00
CONF= 0x252, 0x00
CONF= 0x253, 0x00
CONF= 0x254, 0x00
CONF= 0x255, 0x00
CONF= 0x256, 0x00
CONF= 0x257, 0x00
CONF= 0x258, 0x00
CONF= 0x259, 0x00
CONF= 0x25A, 0x00
CONF= 0x25B, 0x00
CONF= 0x25C, 0x00
CONF= 0x25D, 0x00
CONF= 0x25E, 0x00
CONF= 0x25F, 0x00
CONF= 0x260, 0x00
CONF= 0x261, 0x00
CONF= 0x262, 0x00
CONF= 0x263, 0x00
CONF= 0x264, 0x00
CONF= 0x265, 0x00
CONF= 0x266, 0x00
CONF= 0x267, 0x00
CONF= 0x268, 0x00
CONF= 0x269, 0x00
CONF= 0x26A, 0x00
CONF= 0x26B, 0x00
CONF= 0x26C, 0x00
CONF= 0x26D, 0x00
CONF= 0x26E, 0x00
CONF= 0x26F, 0x00
CONF= 0x270, 0x01
CONF= 0x271, 0x01
CONF= 0x272, 0x80
CONF= 0x273, 0x10
CONF= 0x274, 0x80
CONF= 0x275, 0x01
CONF= 0x276, 0x80
CONF= 0x277, 0x10
CONF= 0x278, 0x80
CONF= 0x279, 0x00
CONF= 0x27A, 0x00
CONF= 0x27B, 0x00
CONF= 0x27C, 0x00
CONF= 0x27D, 0x01
CONF= 0x27E, 0x00
CONF= 0x27F, 0x00
CONF= 0x280, 0x00
CONF= 0x281, 0x00
CONF= 0x282, 0x00
CONF= 0x283, 0x00
CONF= 0x284, 0x00
CONF= 0x285, 0x00
CONF= 0x286, 0x00
CONF= 0x287, 0x00
CONF= 0x288, 0x00
CONF= 0x289, 0x00
CONF= 0x28A, 0x00
CONF= 0x28B, 0x00
CONF= 0x28C, 0x00
CONF= 0x28D, 0x00
CONF= 0x28E, 0x00
CONF= 0x28F, 0x00
CONF= 0x290, 0x00
CONF= 0x291, 0x00
CONF= 0x292, 0x00
CONF= 0x293, 0x00
CONF= 0x294, 0x00
CONF= 0x295, 0x00
CONF= 0x296, 0x01
CONF= 0x297, 0x00
CONF= 0x298, 0x00
CONF= 0x299, 0x00
CONF= 0x29A, 0x00
CONF= 0x29B, 0x00
CONF= 0x29C, 0x00
CONF= 0x29D, 0x00
CONF= 0x29E, 0x00
CONF= 0x29F, 0x00
CONF= 0x2A0, 0x00
CONF= 0x2A1, 0x03
CONF= 0x2A2, 0x00
CONF= 0x2A3, 0x00
CONF= 0x2A4, 0x00
CONF= 0x2A5, 0x00
CONF= 0x2A6, 0xA0
CONF= 0x2A7, 0x02
CONF= 0x2A8, 0xE4
CONF= 0x2A9, 0x01
CONF= 0x2AA, 0x00
CONF= 0x2AB, 0x00
CONF= 0x2AC, 0xFF
CONF= 0x2AD, 0x00
CONF= 0x2AE, 0x00
CONF= 0x2AF, 0x00
CONF= 0x2B0, 0x88
CONF= 0x2B1, 0x00
CONF= 0x2B2, 0xC8
CONF= 0x2B3, 0x00
CONF= 0x2B4, 0xC8
CONF= 0x2B5, 0x00
CONF= 0x2B6, 0x90
CONF= 0x2B7, 0x01
CONF= 0x2B8, 0x40
CONF= 0x2B9, 0x01
CONF= 0x2BA, 0xC8
CONF= 0x2BB, 0x00
CONF= 0x2BC, 0xC8
CONF= 0x2BD, 0x00
CONF= 0x2BE, 0xD0
CONF= 0x2BF, 0x02
CONF= 0x2C0, 0x40
CONF= 0x2C1, 0x01
CONF= 0x2C2, 0x00
CONF= 0x2C3, 0x00
CONF= 0x2C4, 0x00
CONF= 0x2C5, 0x00
CONF= 0x2C6, 0x00
CONF= 0x2C7, 0x00
CONF= 0x2C8, 0x00
CONF= 0x2C9, 0x00
CONF= 0x2CA, 0x00
CONF= 0x2CB, 0x00
CONF= 0x2CC, 0x00
CONF= 0x2CD, 0x00
CONF= 0x2CE, 0x00
CONF= 0x2CF, 0x00
CONF= 0x2D0, 0x00
CONF= 0x2D1, 0x00
CONF= 0x2D2, 0x00
CONF= 0x2D3, 0x00
CONF= 0x2D4, 0x00
CONF= 0x2D5, 0x00
CONF= 0x2D6, 0x00
CONF= 0x2D7, 0x00
CONF= 0x2D8, 0x00
CONF= 0x2D9, 0x00
CONF= 0x2DA, 0x00
CONF= 0x2DB, 0x00
CONF= 0x2DC, 0x00
CONF= 0x2DD, 0x00
CONF= 0x2DE, 0x00
CONF= 0x2DF, 0x00
CONF= 0x2E0, 0x00
CONF= 0x2E1, 0x00
CONF= 0x2E2, 0x00
CONF= 0x2E3, 0x00
CONF= 0x2E4, 0x00
CONF= 0x2E5, 0x00
CONF= 0x2E6, 0x00
CONF= 0x2E7, 0x00
CONF= 0x2E8, 0x00
CONF= 0x2E9, 0x00
CONF= 0x2EA, 0x00
CONF= 0x2EB, 0x00
CONF= 0x2EC, 0x00
CONF= 0x2ED, 0x00
CONF= 0x2EE, 0x00
CONF= 0x2EF, 0x00
CONF= 0x2F0, 0x00
CONF= 0x2F1, 0x00
CONF= 0x2F2, 0x00
CONF= 0x2F3, 0x00
CONF= 0x2F4, 0x00
CONF= 0x2F5, 0x00
CONF= 0x2F6, 0x00
CONF= 0x2F7, 0x00
CONF= 0x2F8, 0x00
CONF= 0x2F9, 0x00
CONF= 0x2FA, 0x00
CONF= 0x2FB, 0x00
CONF= 0x2FC, 0x00
CONF= 0x2FD, 0x00
CONF= 0x2FE, 0x00
CONF= 0x2FF, 0x00
CONF= 0x300, 0x00
CONF= 0x301, 0x00
CONF= 0x302, 0x00
CONF= 0x303, 0x00
CONF= 0x304, 0x00
CONF= 0x305, 0x00
CONF= 0x306, 0x00
CONF= 0x307, 0x00
CONF= 0x308, 0x00
CONF= 0x309, 0x00
CONF= 0x30A, 0x00
CONF= 0x30B, 0x00
CONF= 0x30C, 0x00
CONF= 0x30D, 0x00
CONF= 0x30E, 0x00
CONF= 0x30F, 0x00
CONF= 0x310, 0x00
CONF= 0x311, 0x00
CONF= 0x312, 0x00
CONF= 0x313, 0x00
CONF= 0x314, 0x00
CONF= 0x315, 0x00
CONF= 0x316, 0x00
CONF= 0x317, 0x00
CONF= 0x318, 0x00
CONF= 0x319, 0x00
CONF= 0x31A, 0x00
CONF= 0x31B, 0x00
CONF= 0x31C, 0x00
CONF= 0x31D, 0x00
CONF= 0x31E, 0x00
CONF= 0x31F, 0x00
CONF= 0x320, 0x00
CONF= 0x321, 0x00
CONF= 0x322, 0x00
CONF= 0x323, 0x00
CONF= 0x324, 0x00
CONF= 0x325, 0x00
CONF= 0x326, 0x00
CONF= 0x327, 0x00
CONF= 0x328, 0x00
CONF= 0x329, 0x00
CONF= 0x32A, 0x00
CONF= 0x32B, 0x00
CONF= 0x32C, 0x00
CONF= 0x32D, 0x00
CONF= 0x32E, 0x00
CONF= 0x32F, 0x00
CONF= 0x330, 0x00
CONF= 0x331, 0x00
CONF= 0x332, 0x00
CONF= 0x333, 0x00
CONF= 0x334, 0x00
CONF= 0x335, 0x00
CONF= 0x336, 0x00
CONF= 0x337, 0x00
CONF= 0x338, 0x00
CONF= 0x339, 0x01
CONF= 0x33A, 0x00
CONF= 0x33B, 0x00
CONF= 0x33C, 0x00
CONF= 0x33D, 0x00
CONF= 0x33E, 0x00
CONF= 0x33F, 0x00
CONF= 0x340, 0x00
CONF= 0x341, 0x00
CONF= 0x342, 0x00
CONF= 0x343, 0x00
CONF= 0x344, 0x00
CONF= 0x345, 0x00
CONF= 0x346, 0x00
CONF= 0x347, 0x00
CONF= 0x348, 0x00
CONF= 0x349, 0x00
CONF= 0x34A, 0x00
CONF= 0x34B, 0x00
CONF= 0x34C, 0x00
CONF= 0x34D, 0x00
CONF= 0x34E, 0x00
CONF= 0x34F, 0x00
CONF= 0x350, 0x00
CONF= 0x351, 0x00
CONF= 0x352, 0x00
CONF= 0x353, 0x00
CONF= 0x354, 0x00
CONF= 0x355, 0x00
CONF= 0x356, 0x00
CONF= 0x357, 0x00
CONF= 0x358, 0x00
CONF= 0x359, 0x00
CONF= 0x35A, 0x00
CONF= 0x35B, 0x00
CONF= 0x35C, 0x00
CONF= 0x35D, 0x00
CONF= 0x35E, 0x00
CONF= 0x35F, 0x00
CONF= 0x360, 0x00
CONF= 0x361, 0x00
CONF= 0x362, 0x00
CONF= 0x363, 0x00
CONF= 0x364, 0x00
CONF= 0x365, 0x00
CONF= 0x366, 0x00
CONF= 0x367, 0x00
CONF= 0x368, 0x00
CONF= 0x369, 0x00
CONF= 0x36A, 0x00
CONF= 0x36B, 0x00
CONF= 0x36C, 0x00
CONF= 0x36D, 0x00
CONF= 0x36E, 0x00
CONF= 0x36F, 0x00
CONF= 0x370, 0x00
CONF= 0x371, 0x00
CONF= 0x372, 0x00
CONF= 0x373, 0x00
CONF= 0x374, 0x00
CONF= 0x375, 0x00
CONF= 0x376, 0x00
CONF= 0x377, 0x00
CONF= 0x378, 0x00
CONF= 0x379, 0x00
CONF= 0x37A, 0x00
CONF= 0x37B, 0x00
CONF= 0x37C, 0x00
CONF= 0x37D, 0x00
CONF= 0x37E, 0x00
CONF= 0x37F, 0x00
CONF= 0x380, 0x00
CONF= 0x381, 0x00
CONF= 0x382, 0x00
CONF= 0x383, 0x00
CONF= 0x384, 0x00
CONF= 0x385, 0x00
CONF= 0x386, 0x00
CONF= 0x387, 0x00
CONF= 0x388, 0x00
CONF= 0x389, 0x00
CONF= 0x38A, 0x00
CONF= 0x38B, 0x00
CONF= 0x38C, 0x00
CONF= 0x38D, 0x00
CONF= 0x38E, 0x00
CONF= 0x38F, 0x00
CONF= 0x390, 0x00
CONF= 0x391, 0x00
CONF= 0x392, 0x00
CONF= 0x393, 0x00
CONF= 0x394, 0x00
CONF= 0x395, 0x00
CONF= 0x396, 0x00
CONF= 0x397, 0x00
CONF= 0x398, 0x00
CONF= 0x399, 0x00
CONF= 0x39A, 0x00
CONF= 0x39B, 0x00
CONF= 0x39C, 0x00
CONF= 0x39D, 0x00
CONF= 0x39E, 0x00
CONF= 0x39F, 0x00
CONF= 0x3A0, 0x00
CONF= 0x3A1, 0x00
CONF= 0x3A2, 0x00
CONF= 0x3A3, 0x00
CONF= 0x3A4, 0x00
CONF= 0x3A5, 0x00
CONF= 0x3A6, 0x00
CONF= 0x3A7, 0x00
CONF= 0x3A8, 0x00
CONF= 0x3A9, 0x00
CONF= 0x3AA, 0x00
